Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;0,364;0,364;0,364;0,364;0;0
2019-08-13;0,364;0,364;0,364;0,364;0;0
2019-08-12;0,364;0,364;0,364;0,364;0;0
2019-08-09;0,364;0,364;0,364;0,364;0;0
2019-08-08;0,364;0,364;0,364;0,364;0;0
2019-08-07;0,364;0,364;0,364;0,364;0;0
2019-08-06;0,364;0,364;0,364;0,364;0;0
2019-08-05;0,364;0,364;0,364;0,364;0;0
2019-08-02;0,364;0,364;0,364;0,364;0;0
2019-08-01;0,364;0,364;0,364;0,364;0;0
2019-07-31;0,364;0,364;0,364;0,364;0;0
2019-07-30;0,364;0,364;0,364;0,364;0;0
2019-07-29;0,364;0,364;0,364;0,364;0;0
2019-07-26;0,364;0,364;0,364;0,364;0;0
2019-07-25;0,364;0,364;0,364;0,364;0;0
2019-07-24;0,364;0,364;0,364;0,364;0;0
2019-07-23;0,382;0,382;0,364;0,364;0;0
2019-07-22;0,40;0,40;0,382;0,382;0;0
2019-07-19;0,40;0,40;0,40;0,40;0;0
2019-07-18;0,40;0,40;0,40;0,40;0;0
2019-07-17;0,40;0,40;0,40;0,40;0;0
2019-07-16;0,40;0,40;0,40;0,40;0;0
2019-07-15;0,40;0,40;0,40;0,40;0;0
2019-07-12;0,40;0,40;0,40;0,40;0;0
2019-07-11;0,40;0,40;0,40;0,40;0;0
2019-07-10;0,40;0,40;0,40;0,40;0;0
2019-07-09;0,40;0,40;0,40;0,40;0;0
2019-07-08;0,40;0,40;0,40;0,40;0;0
2019-07-05;0,40;0,40;0,30;0,30;0;0
2019-07-04;0,40;0,40;0,40;0,40;0;0
2019-07-03;0,40;0,40;0,40;0,40;0;0
2019-07-02;0,40;0,40;0,40;0,40;0;0
2019-07-01;0,40;0,40;0,40;0,40;0;0
2019-06-28;0,40;0,40;0,40;0,40;0;0
2019-06-27;0,40;0,40;0,40;0,40;0;0
2019-06-26;0,40;0,40;0,40;0,40;0;0
2019-06-25;0,40;0,40;0,40;0,40;0;0
2019-06-24;0,40;0,40;0,40;0,40;0;0
2019-06-21;0,40;0,40;0,40;0,40;0;0
2019-06-20;0,40;0,40;0,40;0,40;0;0
2019-06-19;0,40;0,40;0,40;0,40;0;0
2019-06-18;0,40;0,40;0,40;0,40;0;0
2019-06-17;0,40;0,40;0,40;0,40;0;0
2019-06-14;0,40;0,40;0,40;0,40;0;0
2019-06-13;0,40;0,40;0,40;0,40;0;0
2019-06-12;0,40;0,40;0,40;0,40;0;0
2019-06-11;0,40;0,40;0,40;0,40;0;0
2019-06-07;0,40;0,40;0,40;0,40;0;0
2019-06-06;0,40;0,40;0,40;0,40;0;0
2019-06-05;0,466;0,466;0,466;0,466;0;0
2019-06-04;0,466;0,466;0,466;0,466;0;0
2019-06-03;0,466;0,466;0,466;0,466;0;0
2019-05-31;0,466;0,466;0,466;0,466;0;0
2019-05-30;0,466;0,466;0,466;0,466;0;0
2019-05-29;0,466;0,466;0,466;0,466;0;0
2019-05-28;0,466;0,466;0,466;0,466;0;0
2019-05-27;0,466;0,466;0,466;0,466;0;0
2019-05-24;0,466;0,466;0,466;0,466;0;0
2019-05-23;0,466;0,466;0,40;0,466;0;0
2019-05-22;0,466;0,466;0,466;0,466;0;0
2019-05-21;0,466;0,466;0,466;0,466;0;0
2019-05-20;0,466;0,466;0,466;0,466;0;0
2019-05-17;0,466;0,466;0,466;0,466;0;0
2019-05-16;0,466;0,466;0,43;0,43;0;0
2019-05-15;0,466;0,466;0,466;0,466;0;0
2019-05-14;0,466;0,466;0,466;0,466;0;0
2019-05-13;0,466;0,466;0,466;0,466;0;0
2019-05-10;0,466;0,466;0,466;0,466;0;0
2019-05-09;0,466;0,466;0,466;0,466;0;0
2019-05-08;0,49;0,49;0,40;0,466;0;0
2019-05-07;0,42;0,448;0,42;0,448;0;0
2019-05-06;0,42;0,42;0,42;0,42;0;0
2019-05-03;0,476;0,476;0,30;0,35;0;0
2019-05-02;0,476;0,476;0,476;0,476;0;0
2019-04-30;0,476;0,476;0,476;0,476;0;0
2019-04-29;0,50;0,50;0,40;0,40;0;0
2019-04-26;0,50;0,50;0,50;0,50;0;0
2019-04-25;0,50;0,50;0,50;0,50;0;0
2019-04-24;0,50;0,50;0,50;0,50;0;0
2019-04-23;0,625;0,625;0,50;0,50;0;0
2019-04-18;0,635;0,635;0,50;0,50;0;0
2019-04-17;0,635;0,635;0,50;0,50;0;0
2019-04-16;0,50;0,50;0,50;0,50;0;0
2019-04-15;0,635;0,635;0,55;0,55;0;0
2019-04-12;0,50;0,50;0,50;0,50;0;0
2019-04-11;0,50;0,50;0,50;0,50;0;0
2019-04-10;0,50;0,50;0,50;0,50;0;0
2019-04-09;0,60;0,60;0,60;0,60;0;0
2019-04-08;0,635;0,635;0,635;0,635;0;0
2019-04-05;0,635;0,635;0,635;0,635;0;0
2019-04-04;0,635;0,635;0,635;0,635;0;0
2019-04-03;0,635;0,635;0,635;0,635;0;0
2019-04-02;0,635;0,635;0,635;0,635;0;0
2019-04-01;0,635;0,635;0,635;0,635;0;0
2019-03-29;0,635;0,635;0,635;0,635;0;0
2019-03-28;0,635;0,635;0,635;0,635;0;0
2019-03-27;0,635;0,635;0,635;0,635;0;0
2019-03-26;0,715;0,715;0,66;0,71;0;0
2019-03-25;0,715;0,715;0,715;0,715;0;0
2019-03-22;0,66;0,66;0,66;0,66;0;0
2019-03-21;0,66;0,66;0,66;0,66;0;0
2019-03-20;0,66;0,66;0,66;0,66;0;0
2019-03-19;0,66;0,66;0,66;0,66;0;0
2019-03-18;0,66;0,66;0,66;0,66;0;0
2019-03-15;0,66;0,66;0,66;0,66;0;0
2019-03-14;0,66;0,66;0,66;0,66;0;0
2019-03-13;0,66;0,66;0,66;0,66;0;0
2019-03-12;0,66;0,66;0,66;0,66;0;0
2019-03-11;0,66;0,66;0,66;0,66;0;0
2019-03-08;0,66;0,66;0,66;0,66;0;0
2019-03-07;0,66;0,66;0,66;0,66;0;0
2019-03-06;0,66;0,66;0,66;0,66;0;0
2019-03-05;0,66;0,66;0,66;0,66;0;0
2019-03-04;0,62;0,62;0,62;0,62;0;0
2019-03-01;0,62;0,62;0,62;0,62;0;0
2019-02-28;0,62;0,62;0,62;0,62;0;0
2019-02-27;0,62;0,62;0,62;0,62;0;0
2019-02-26;0,62;0,62;0,62;0,62;0;0
2019-02-25;0,62;0,62;0,62;0,62;0;0
2019-02-22;0,62;0,62;0,62;0,62;0;0
2019-02-21;0,64;0,64;0,64;0,64;0;0
2019-02-20;0,64;0,64;0,64;0,64;0;0
2019-02-19;0,64;0,64;0,64;0,64;0;0
2019-02-18;0,64;0,64;0,64;0,64;0;0
2019-02-15;0,64;0,64;0,64;0,64;0;0
2019-02-14;0,64;0,64;0,64;0,64;0;0
2019-02-13;0,64;0,64;0,64;0,64;0;0
2019-02-12;0,64;0,64;0,64;0,64;0;0
2019-02-11;0,64;0,64;0,64;0,64;0;0
2019-02-08;0,64;0,64;0,64;0,64;0;0
2019-02-07;0,64;0,64;0,64;0,64;0;0
2019-02-06;0,66;0,66;0,66;0,66;0;0
2019-02-05;0,66;0,66;0,66;0,66;0;0
2019-02-04;0,66;0,66;0,66;0,66;0;0
2019-02-01;0,64;0,64;0,64;0,64;0;0
2019-01-31;0,64;0,64;0,64;0,64;0;0
2019-01-30;0,66;0,66;0,66;0,66;0;0
2019-01-29;0,60;0,715;0,60;0,715;0;0
2019-01-28;0,72;0,72;0,72;0,72;0;0
2019-01-25;0,72;0,72;0,64;0,715;0;0
2019-01-24;0,72;0,72;0,72;0,72;0;0
2019-01-23;0,725;0,725;0,64;0,72;0;0
2019-01-22;0,60;0,725;0,60;0,725;1.400;840
2019-01-21;0,68;0,68;0,68;0,68;0;0
2019-01-18;0,50;0,50;0,50;0,50;0;0
2019-01-17;0,55;0,55;0,55;0,55;;
2019-01-16;0,60;0,60;0,55;0,55;0;0
2019-01-15;0,65;0,65;0,65;0,65;0;0
2019-01-14;0,725;0,725;0,65;0,65;0;0
2019-01-11;0,725;0,725;0,725;0,725;0;0
2019-01-10;0,725;0,725;0,725;0,725;0;0
2019-01-09;0,725;0,725;0,60;0,725;0;0
2019-01-08;0,725;0,725;0,725;0,725;0;0
2019-01-07;0,725;0,725;0,725;0,725;0;0
2019-01-04;0,725;0,725;0,725;0,725;0;0
2019-01-03;0,725;0,725;0,725;0,725;0;0
2019-01-02;0,725;0,725;0,725;0,725;0;0
2018-12-28;0,725;0,725;0,725;0,725;0;0
2018-12-27;0,725;0,725;0,725;0,725;0;0
2018-12-21;0,725;0,725;0,725;0,725;0;0
2018-12-20;0,725;0,725;0,725;0,725;0;0
2018-12-19;0,725;0,725;0,725;0,725;0;0
2018-12-18;0,725;0,725;0,725;0,725;0;0
2018-12-17;0,725;0,725;0,725;0,725;0;0
2018-12-14;0,725;0,725;0,725;0,725;0;0
2018-12-13;0,725;0,725;0,725;0,725;0;0
2018-12-12;0,725;0,725;0,725;0,725;0;0
2018-12-11;0,725;0,725;0,725;0,725;0;0
2018-12-10;0,725;0,725;0,725;0,725;0;0
2018-12-07;0,725;0,725;0,725;0,725;0;0
2018-12-06;0,725;0,725;0,725;0,725;0;0
2018-12-05;0,725;0,725;0,725;0,725;0;0
2018-12-04;0,725;0,725;0,725;0,725;0;0
2018-12-03;0,725;0,725;0,725;0,725;0;0
2018-11-30;0,725;0,725;0,725;0,725;0;0
2018-11-29;0,725;0,725;0,725;0,725;0;0
2018-11-28;0,60;0,725;0,60;0,725;3.333;2.000
2018-11-27;0,72;0,72;0,70;0,70;0;0
2018-11-26;0,70;0,70;0,70;0,70;0;0
2018-11-23;0,725;0,725;0,70;0,70;0;0
2018-11-22;0,725;0,725;0,725;0,725;0;0
2018-11-21;0,725;0,725;0,725;0,725;0;0
2018-11-20;0,725;0,725;0,725;0,725;0;0
2018-11-19;0,725;0,725;0,725;0,725;0;0
2018-11-16;0,725;0,725;0,725;0,725;0;0
2018-11-15;0,725;0,725;0,725;0,725;0;0
2018-11-14;0,725;0,725;0,725;0,725;0;0
2018-11-13;0,725;0,725;0,725;0,725;0;0
2018-11-12;0,725;0,725;0,725;0,725;0;0
2018-11-09;0,725;0,725;0,725;0,725;0;0
2018-11-08;0,795;0,795;0,725;0,725;0;0
2018-11-07;0,795;0,795;0,795;0,795;0;0
2018-11-06;0,795;0,795;0,795;0,795;0;0
2018-11-05;0,795;0,795;0,795;0,795;0;0
2018-11-02;0,795;0,795;0,795;0,795;0;0
2018-11-01;0,795;0,795;0,795;0,795;0;0
2018-10-31;0,795;0,795;0,795;0,795;0;0
2018-10-30;0,795;0,795;0,795;0,795;0;0
2018-10-29;0,575;0,795;0,575;0,795;0;0
2018-10-26;0,605;0,605;0,58;0,58;0;0
2018-10-25;0,635;0,635;0,61;0,61;0;0
2018-10-24;0,665;0,665;0,64;0,64;0;0
2018-10-23;0,695;0,695;0,67;0,67;0;0
2018-10-22;0,725;0,725;0,70;0,70;0;0
2018-10-19;0,755;0,755;0,73;0,73;0;0
2018-10-18;0,785;0,785;0,76;0,76;0;0
2018-10-17;0,80;0,80;0,79;0,79;0;0
2018-10-16;0,80;0,80;0,80;0,80;0;0
2018-10-15;0,80;0,80;0,80;0,80;0;0
2018-10-12;1,10;1,10;0,80;0,80;0;0
2018-10-11;1,10;1,10;1,10;1,10;0;0
2018-10-10;1,10;1,10;1,10;1,10;0;0
2018-10-09;1,10;1,10;1,10;1,10;0;0
2018-10-08;1,10;1,10;1,10;1,10;0;0
2018-10-05;1,10;1,10;1,10;1,10;0;0
2018-10-04;1,10;1,10;1,10;1,10;0;0
2018-10-02;1,00;1,10;1,00;1,10;100;110
2018-10-01;1,00;1,00;1,00;1,00;0;0
2018-09-28;1,00;1,00;1,00;1,00;0;0
2018-09-27;1,00;1,00;1,00;1,00;0;0
2018-09-26;1,00;1,00;1,00;1,00;0;0
2018-09-25;1,00;1,00;1,00;1,00;0;0
2018-09-24;1,00;1,00;1,00;1,00;0;0
2018-09-21;1,00;1,00;1,00;1,00;0;0
2018-09-20;1,00;1,00;1,00;1,00;0;0
2018-09-19;1,00;1,00;1,00;1,00;0;0
2018-09-18;1,00;1,00;1,00;1,00;0;0
2018-09-17;1,00;1,00;1,00;1,00;0;0
2018-09-14;1,00;1,00;1,00;1,00;0;0
2018-09-13;1,00;1,00;1,00;1,00;0;0
2018-09-12;1,00;1,00;1,00;1,00;0;0
2018-09-11;1,00;1,00;1,00;1,00;0;0
2018-09-10;0,995;1,00;0,995;1,00;4.402;4.402
2018-09-07;1,00;1,00;0,995;0,995;0;0
2018-09-06;1,00;1,00;1,00;1,00;0;0
2018-09-05;1,00;1,00;1,00;1,00;0;0
2018-09-04;1,00;1,00;1,00;1,00;0;0
2018-09-03;1,00;1,00;1,00;1,00;0;0
2018-08-31;1,00;1,00;1,00;1,00;0;0
2018-08-30;1,00;1,00;1,00;1,00;0;0
2018-08-29;1,00;1,00;1,00;1,00;0;0
2018-08-28;1,00;1,00;1,00;1,00;0;0
2018-08-27;1,00;1,00;1,00;1,00;0;0
2018-08-24;1,00;1,00;1,00;1,00;0;0
2018-08-23;1,00;1,00;1,00;1,00;0;0
2018-08-22;1,00;1,00;1,00;1,00;0;0
2018-08-21;1,00;1,00;1,00;1,00;0;0
2018-08-20;1,00;1,00;1,00;1,00;0;0
2018-08-17;1,00;1,00;1,00;1,00;0;0
2018-08-16;1,00;1,00;1,00;1,00;0;0
2018-08-15;1,00;1,00;1,00;1,00;0;0
2018-08-14;1,00;1,00;1,00;1,00;0;0
2018-08-13;1,00;1,00;1,00;1,00;0;0
2018-08-10;1,00;1,00;1,00;1,00;0;0
2018-08-09;1,00;1,00;1,00;1,00;0;0
2018-08-08;1,00;1,00;1,00;1,00;0;0
2018-08-07;1,00;1,00;1,00;1,00;0;0
2018-08-06;1,00;1,00;1,00;1,00;0;0
2018-08-03;1,00;1,00;1,00;1,00;0;0
2018-08-02;1,00;1,00;1,00;1,00;0;0
2018-08-01;1,00;1,00;1,00;1,00;0;0
2018-07-31;1,00;1,00;1,00;1,00;0;0
2018-07-30;1,00;1,00;1,00;1,00;0;0
2018-07-27;1,00;1,00;1,00;1,00;0;0
2018-07-26;1,00;1,00;1,00;1,00;0;0
2018-07-25;1,00;1,00;1,00;1,00;0;0
2018-07-24;1,00;1,00;1,00;1,00;0;0
2018-07-23;1,00;1,00;1,00;1,00;0;0
2018-07-20;1,00;1,00;1,00;1,00;0;0
2018-07-19;1,00;1,00;1,00;1,00;0;0
2018-07-18;1,00;1,00;1,00;1,00;0;0
2018-07-17;1,00;1,00;1,00;1,00;0;0
2018-07-16;1,00;1,00;1,00;1,00;0;0
2018-07-13;1,00;1,00;1,00;1,00;0;0
2018-07-12;1,00;1,00;1,00;1,00;0;0
2018-07-11;1,00;1,00;1,00;1,00;0;0
2018-07-10;1,00;1,00;1,00;1,00;0;0
2018-07-09;1,00;1,00;1,00;1,00;0;0
2018-07-06;1,00;1,00;1,00;1,00;0;0
2018-07-05;1,00;1,00;1,00;1,00;0;0
2018-07-04;1,00;1,00;1,00;1,00;0;0
2018-07-03;1,00;1,00;1,00;1,00;0;0
2018-07-02;1,00;1,00;1,00;1,00;0;0
2018-06-29;1,00;1,00;1,00;1,00;0;0
2018-06-28;0,90;1,00;0,90;1,00;0;0
2018-06-27;0,90;0,90;0,90;0,90;0;0
2018-06-26;0,90;0,90;0,90;0,90;0;0
2018-06-25;0,90;0,90;0,90;0,90;0;0
2018-06-22;0,90;0,90;0,90;0,90;0;0
2018-06-21;0,90;0,90;0,90;0,90;0;0
2018-06-20;0,90;0,90;0,90;0,90;0;0
2018-06-19;0,90;0,90;0,90;0,90;0;0
2018-06-18;0,90;0,90;0,90;0,90;0;0
2018-06-15;0,90;0,90;0,90;0,90;0;0
2018-06-14;0,90;0,90;0,90;0,90;0;0
2018-06-13;0,90;0,90;0,90;0,90;0;0
2018-06-12;0,90;0,90;0,90;0,90;0;0
2018-06-11;0,90;0,90;0,90;0,90;0;0
2018-06-08;0,90;0,90;0,90;0,90;0;0
2018-06-07;0,90;0,90;0,90;0,90;0;0
2018-06-06;0,90;0,90;0,90;0,90;0;0
2018-06-05;0,90;0,90;0,90;0,90;0;0
2018-06-04;0,90;0,90;0,90;0,90;0;0
2018-06-01;0,90;0,90;0,90;0,90;0;0
2018-05-31;0,90;0,90;0,90;0,90;0;0
2018-05-30;0,90;0,90;0,90;0,90;0;0
2018-05-29;0,90;0,90;0,90;0,90;0;0
2018-05-28;0,90;0,90;0,90;0,90;0;0
2018-05-25;0,90;0,90;0,90;0,90;0;0
2018-05-24;0,90;0,90;0,90;0,90;0;0
2018-05-23;0,90;0,90;0,90;0,90;0;0
2018-05-22;0,80;0,90;0,80;0,90;0;0
2018-05-18;0,80;0,80;0,80;0,80;0;0
2018-05-17;0,80;0,80;0,80;0,80;0;0
2018-05-16;0,80;0,80;0,80;0,80;0;0
2018-05-15;0,80;0,80;0,80;0,80;0;0
2018-05-14;0,80;0,80;0,80;0,80;0;0
2018-05-11;0,80;0,80;0,80;0,80;0;0
2018-05-10;0,80;0,80;0,80;0,80;0;0
2018-05-09;0,80;0,80;0,80;0,80;0;0
2018-05-08;0,80;0,80;0,80;0,80;0;0
2018-05-07;0,80;0,80;0,80;0,80;0;0
2018-05-04;0,80;0,80;0,80;0,80;0;0
2018-05-03;0,80;0,80;0,80;0,80;0;0
2018-05-02;0,80;0,80;0,80;0,80;0;0
2018-04-30;0,99;0,99;0,99;0,99;0;0
2018-04-27;1,09;1,09;1,09;1,09;0;0
2018-04-26;1,09;1,09;1,09;1,09;0;0
2018-04-25;1,09;1,09;1,09;1,09;0;0
2018-04-24;1,09;1,09;1,09;1,09;0;0
2018-04-23;1,09;1,09;1,09;1,09;0;0
2018-04-20;1,09;1,09;1,09;1,09;0;0
2018-04-19;1,09;1,09;1,09;1,09;0;0
2018-04-18;1,09;1,09;1,09;1,09;0;0
2018-04-17;1,09;1,09;1,09;1,09;0;0
2018-04-16;1,09;1,09;1,09;1,09;0;0
2018-04-13;1,09;1,09;1,09;1,09;0;0
2018-04-12;1,09;1,09;1,09;1,09;0;0
2018-04-11;1,09;1,09;1,09;1,09;0;0
2018-04-10;1,09;1,09;1,09;1,09;0;0
2018-04-09;0,90;1,10;0,90;1,09;2.000;2.190
2018-04-06;0,90;0,90;0,90;0,90;0;0
2018-04-05;0,90;0,90;0,90;0,90;0;0
2018-04-04;0,90;0,90;0,90;0,90;0;0
2018-04-03;0,90;0,90;0,90;0,90;0;0
2018-03-29;0,90;0,90;0,90;0,90;0;0
2018-03-28;0,90;0,90;0,90;0,90;0;0
2018-03-27;0,90;0,90;0,90;0,90;0;0
2018-03-23;0,91;0,91;0,91;0,91;0;0
2018-03-22;1,00;1,00;1,00;1,00;0;0
2018-03-21;1,00;1,00;1,00;1,00;0;0
2018-03-20;1,00;1,00;1,00;1,00;0;0
2018-03-19;1,00;1,00;1,00;1,00;0;0
2018-03-16;1,00;1,00;1,00;1,00;0;0
2018-03-15;1,00;1,00;1,00;1,00;0;0
2018-03-14;1,01;1,01;1,01;1,01;0;0
2018-03-13;1,01;1,01;1,01;1,01;0;0
2018-03-12;1,01;1,01;1,01;1,01;0;0
2018-03-09;1,01;1,01;1,01;1,01;0;0
2018-03-08;1,01;1,01;1,01;1,01;0;0
2018-03-07;1,00;1,00;1,00;1,00;0;0
2018-03-06;1,00;1,00;1,00;1,00;0;0
2018-03-05;1,00;1,00;1,00;1,00;0;0
2018-03-02;1,01;1,01;1,01;1,01;0;0
2018-03-01;1,00;1,00;1,00;1,00;0;0
2018-02-28;1,00;1,00;1,00;1,00;0;0
2018-02-27;1,00;1,00;1,00;1,00;0;0
2018-02-26;1,00;1,00;1,00;1,00;0;0
2018-02-23;1,00;1,00;1,00;1,00;0;0
2018-02-22;1,00;1,00;1,00;1,00;0;0
2018-02-21;1,00;1,00;1,00;1,00;0;0
2018-02-20;1,01;1,01;1,01;1,01;0;0
2018-02-19;1,01;1,01;1,01;1,01;0;0
2018-02-16;1,01;1,01;1,01;1,01;0;0
2018-02-15;1,01;1,01;1,01;1,01;0;0
2018-02-14;1,01;1,01;1,01;1,01;0;0
2018-02-13;1,01;1,01;1,01;1,01;0;0
2018-02-12;1,01;1,01;1,01;1,01;0;0
2018-02-09;1,01;1,01;1,01;1,01;0;0
2018-02-08;1,01;1,01;1,01;1,01;0;0
2018-02-07;1,01;1,01;1,01;1,01;0;0
2018-02-06;1,01;1,01;1,01;1,01;0;0
2018-02-05;1,01;1,01;1,01;1,01;0;0
2018-02-02;1,06;1,06;1,06;1,06;40;42
2018-02-01;1,18;1,18;1,18;1,18;0;0
2018-01-31;1,08;1,08;1,08;1,08;0;0
2018-01-30;0,90;0,90;0,90;0,90;0;0
2018-01-29;1,05;1,05;1,05;1,05;0;0
2018-01-26;1,01;1,01;1,01;1,01;0;0
2018-01-25;1,01;1,01;1,01;1,01;0;0
2018-01-24;1,10;1,10;1,10;1,10;0;0
2018-01-23;1,10;1,10;1,10;1,10;0;0
2018-01-22;1,10;1,10;1,10;1,10;0;0
2018-01-19;1,10;1,10;1,10;1,10;0;0
2018-01-18;1,10;1,10;1,10;1,10;0;0
2018-01-17;1,10;1,10;1,10;1,10;0;0
2018-01-16;1,10;1,10;1,10;1,10;0;0
2018-01-15;1,10;1,10;1,10;1,10;0;0
2018-01-12;1,10;1,10;1,10;1,10;0;0
2018-01-11;1,10;1,10;1,10;1,10;0;0
2018-01-10;1,10;1,10;1,10;1,10;0;0
2018-01-09;1,10;1,10;1,10;1,10;0;0
2018-01-08;1,10;1,10;1,10;1,10;0;0
2018-01-05;1,14;1,14;1,14;1,14;0;0
2018-01-04;1,14;1,14;1,14;1,14;0;0
2018-01-03;1,14;1,14;1,14;1,14;0;0
2018-01-02;1,14;1,14;1,14;1,14;0;0
2017-12-29;0,916;0,916;0,916;0,916;0;0
2017-12-28;0,916;0,916;0,916;0,916;0;0
2017-12-27;0,91;0,91;0,91;0,91;0;0
2017-12-22;0,91;0,91;0,91;0,91;0;0
2017-12-21;0,912;0,912;0,912;0,912;0;0
2017-12-20;0,915;0,915;0,915;0,915;0;0
2017-12-19;0,91;0,91;0,91;0,91;0;0
2017-12-18;0,91;0,91;0,91;0,91;0;0
2017-12-15;0,91;0,91;0,91;0,91;0;0
2017-12-14;0,91;0,91;0,91;0,91;0;0
2017-12-13;0,91;0,91;0,91;0,91;0;0
2017-12-12;0,91;0,91;0,91;0,91;0;0
2017-12-11;0,91;0,91;0,91;0,91;0;0
2017-12-08;0,91;0,91;0,91;0,91;0;0
2017-12-07;0,91;0,915;0,91;0,915;15;14
2017-12-06;0,91;0,91;0,91;0,91;0;0
2017-12-05;0,91;0,91;0,91;0,91;0;0
2017-12-01;0,91;0,91;0,91;0,91;0;0
2017-11-30;0,91;0,91;0,91;0,91;0;0
2017-11-29;0,91;0,91;0,91;0,91;0;0
2017-11-28;0,91;0,91;0,91;0,91;0;0
2017-11-27;0,91;0,91;0,91;0,91;0;0
2017-11-24;0,91;0,91;0,91;0,91;0;0
2017-11-23;0,92;0,92;0,92;0,92;0;0
2017-11-22;0,90;1,25;0,90;1,25;2.000;2.500
2017-11-21;0,851;0,851;0,851;0,851;0;0
2017-11-20;0,951;0,951;0,951;0,951;0;0
2017-11-17;0,951;0,951;0,951;0,951;0;0
2017-11-16;0,951;0,951;0,951;0,951;0;0
2017-11-15;0,951;0,951;0,951;0,951;0;0
2017-11-14;0,951;0,951;0,951;0,951;0;0
2017-11-13;0,942;0,942;0,942;0,942;0;0
2017-11-10;1,004;1,004;1,004;1,004;0;0
2017-11-09;1,004;1,004;1,004;1,004;0;0
2017-11-08;1,004;1,004;1,004;1,004;0;0
2017-11-07;1,004;1,004;1,004;1,004;0;0
2017-11-06;1,004;1,004;1,004;1,004;0;0
2017-11-03;0,955;0,958;0,955;0,958;12;12
2017-11-02;0,937;0,937;0,937;0,937;0;0
2017-11-01;0,934;0,934;0,934;0,934;0;0
2017-10-31;0,97;0,97;0,97;0,97;0;0
2017-10-30;0,97;0,97;0,97;0,97;0;0
2017-10-27;0,97;0,97;0,97;0,97;0;0
2017-10-26;0,973;0,973;0,973;0,973;0;0
2017-10-25;0,97;0,97;0,97;0,97;0;0
2017-10-24;0,973;0,973;0,973;0,973;0;0
2017-10-23;0,973;1,10;0,973;1,10;400;440
2017-10-20;0,973;0,973;0,973;0,973;0;0
2017-10-19;0,953;0,953;0,953;0,953;0;0
2017-10-18;0,953;0,953;0,953;0,953;0;0
2017-10-17;1,00;1,00;1,00;1,00;0;0
2017-10-16;1,106;1,106;1,106;1,106;0;0
2017-10-13;0,95;0,95;0,95;0,95;0;0
2017-10-12;0,95;0,95;0,95;0,95;0;0
2017-10-11;0,95;0,95;0,95;0,95;0;0
2017-10-10;0,95;0,95;0,95;0,95;0;0
2017-10-09;0,95;0,95;0,95;0,95;0;0
2017-10-06;0,957;0,957;0,957;0,957;0;0
2017-10-05;0,957;0,957;0,957;0,957;0;0
2017-10-04;0,942;0,942;0,942;0,942;0;0
2017-10-03;0,942;0,942;0,942;0,942;0;0
2017-10-02;0,942;0,942;0,942;0,942;0;0
2017-09-29;0,942;0,942;0,942;0,942;0;0
2017-09-28;0,942;0,942;0,942;0,942;0;0
2017-09-27;0,942;0,942;0,942;0,942;0;0
2017-09-26;0,942;0,942;0,942;0,942;0;0
2017-09-25;0,942;0,942;0,942;0,942;0;0
2017-09-22;0,942;0,942;0,942;0,942;0;0
2017-09-21;0,942;0,942;0,942;0,942;0;0
2017-09-20;0,942;0,942;0,942;0,942;0;0
2017-09-19;0,84;0,84;0,84;0,84;0;0
2017-09-18;1,00;1,00;1,00;1,00;0;0
2017-09-15;1,00;1,00;1,00;1,00;0;0
2017-09-14;1,00;1,00;1,00;1,00;0;0
2017-09-13;1,00;1,00;1,00;1,00;0;0
2017-09-12;1,00;1,00;1,00;1,00;0;0
2017-09-11;1,00;1,00;1,00;1,00;0;0
2017-09-08;1,00;1,00;1,00;1,00;0;0
2017-09-07;1,00;1,00;1,00;1,00;0;0
2017-09-06;1,00;1,00;1,00;1,00;0;0
2017-09-05;1,00;1,00;1,00;1,00;0;0
2017-09-04;1,00;1,00;1,00;1,00;0;0
2017-09-01;1,00;1,00;1,00;1,00;0;0
2017-08-31;1,00;1,00;1,00;1,00;0;0
2017-08-30;1,00;1,00;1,00;1,00;0;0
2017-08-29;1,003;1,003;1,003;1,003;0;0
2017-08-28;1,00;1,00;1,00;1,00;0;0
2017-08-25;1,00;1,00;1,00;1,00;0;0
2017-08-24;1,00;1,00;1,00;1,00;0;0
2017-08-22;1,00;1,00;1,00;1,00;0;0
2017-08-21;1,00;1,00;1,00;1,00;0;0
2017-08-18;1,00;1,00;1,00;1,00;0;0
2017-08-17;1,00;1,00;1,00;1,00;0;0
2017-08-16;1,00;1,00;1,00;1,00;0;0
2017-08-15;1,003;1,003;1,003;1,003;0;0
2017-08-14;1,00;1,00;1,00;1,00;0;0
2017-08-11;1,00;1,00;1,00;1,00;0;0
2017-08-10;1,003;1,003;1,003;1,003;0;0
2017-08-09;1,00;1,00;1,00;1,00;0;0
2017-08-08;1,10;1,10;1,10;1,10;0;0
2017-08-07;1,098;1,098;1,098;1,098;0;0
2017-08-04;1,10;1,10;1,10;1,10;0;0
2017-08-03;1,098;1,098;1,098;1,098;0;0
2017-08-02;1,098;1,098;1,098;1,098;0;0
2017-08-01;1,098;1,098;1,098;1,098;0;0
2017-07-31;1,10;1,10;1,10;1,10;0;0
2017-07-28;1,10;1,10;1,10;1,10;0;0
2017-07-27;1,10;1,10;1,10;1,10;0;0
2017-07-26;1,099;1,099;1,099;1,099;0;0
