Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2016-06-08;0,03;0,03;0,03;0,03;0;0
2016-06-07;0,03;0,03;0,03;0,03;0;0
2016-06-06;0,03;0,03;0,03;0,03;0;0
2016-06-03;0,03;0,03;0,03;0,03;0;0
2016-06-02;0,03;0,03;0,03;0,03;0;0
2016-06-01;0,03;0,03;0,03;0,03;0;0
2016-05-31;0,03;0,03;0,03;0,03;0;0
2016-05-30;0,025;0,025;0,025;0,025;0;0
2016-05-27;0,022;0,022;0,022;0,022;0;0
2016-05-26;0,023;0,023;0,023;0,023;0;0
2016-05-25;0,023;0,023;0,023;0,023;0;0
2016-05-24;0,023;0,023;0,023;0,023;10.000;230
2016-05-23;0,023;0,023;0,023;0,023;0;0
2016-05-20;0,023;0,023;0,023;0,023;0;0
2016-05-19;0,023;0,023;0,023;0,023;0;0
2016-05-18;0,023;0,023;0,023;0,023;0;0
2016-05-17;0,025;0,025;0,025;0,025;0;0
2016-05-16;0,025;0,025;0,025;0,025;0;0
2016-05-13;0,025;0,025;0,025;0,025;0;0
2016-05-12;0,03;0,03;0,03;0,03;0;0
2016-05-11;0,03;0,03;0,03;0,03;0;0
2016-05-10;0,03;0,03;0,03;0,03;0;0
2016-05-09;0,03;0,03;0,03;0,03;0;0
2016-05-06;0,03;0,03;0,03;0,03;0;0
2016-05-05;0,03;0,03;0,03;0,03;0;0
2016-05-04;0,03;0,03;0,03;0,03;0;0
2016-05-03;0,03;0,03;0,03;0,03;0;0
2016-05-02;0,03;0,03;0,03;0,03;0;0
2016-04-29;0,03;0,03;0,03;0,03;0;0
2016-04-28;0,03;0,03;0,03;0,03;0;0
2016-04-27;0,03;0,03;0,03;0,03;0;0
2016-04-26;0,03;0,03;0,03;0,03;0;0
2016-04-25;0,03;0,03;0,03;0,03;0;0
2016-04-22;0,03;0,03;0,03;0,03;0;0
2016-04-21;0,03;0,03;0,03;0,03;0;0
2016-04-20;0,03;0,03;0,03;0,03;0;0
2016-04-19;0,03;0,03;0,03;0,03;0;0
2016-04-18;0,03;0,03;0,03;0,03;0;0
2016-04-15;0,03;0,03;0,03;0,03;0;0
2016-04-14;0,03;0,03;0,03;0,03;0;0
2016-04-13;0,03;0,03;0,03;0,03;0;0
2016-04-12;0,03;0,03;0,03;0,03;0;0
2016-04-11;0,03;0,03;0,03;0,03;0;0
2016-04-08;0,03;0,03;0,03;0,03;0;0
2016-04-07;0,03;0,03;0,03;0,03;0;0
2016-04-06;0,03;0,03;0,03;0,03;0;0
2016-04-05;0,02;0,02;0,02;0,02;0;0
2016-04-04;0,02;0,02;0,02;0,02;0;0
2016-04-01;0,02;0,02;0,02;0,02;0;0
2016-03-31;0,021;0,021;0,021;0,021;0;0
2016-03-30;0,021;0,021;0,021;0,021;0;0
2016-03-29;0,021;0,021;0,021;0,021;0;0
2016-03-24;0,021;0,021;0,021;0,021;0;0
2016-03-23;0,021;0,021;0,021;0,021;0;0
2016-03-22;0,02;0,02;0,02;0,02;0;0
2016-03-21;0,02;0,02;0,02;0,02;0;0
2016-03-18;0,02;0,02;0,02;0,02;0;0
2016-03-17;0,02;0,02;0,02;0,02;0;0
2016-03-16;0,02;0,02;0,02;0,02;0;0
2016-03-15;0,02;0,02;0,02;0,02;0;0
2016-03-14;0,02;0,02;0,02;0,02;0;0
2016-03-11;0,02;0,02;0,02;0,02;0;0
2016-03-10;0,02;0,02;0,02;0,02;0;0
2016-03-09;0,02;0,02;0,02;0,02;0;0
2016-03-08;0,02;0,02;0,02;0,02;0;0
2016-03-07;0,02;0,02;0,02;0,02;0;0
2016-03-04;0,02;0,02;0,02;0,02;0;0
2016-03-03;0,02;0,02;0,02;0,02;0;0
2016-03-02;0,02;0,02;0,02;0,02;0;0
2016-03-01;0,02;0,02;0,02;0,02;0;0
2016-02-29;0,02;0,02;0,02;0,02;0;0
2016-02-26;0,02;0,02;0,02;0,02;0;0
2016-02-25;0,02;0,02;0,02;0,02;0;0
2016-02-24;0,02;0,02;0,02;0,02;0;0
2016-02-23;0,02;0,02;0,02;0,02;0;0
2016-02-22;0,018;0,018;0,018;0,018;0;0
2016-02-19;0,02;0,02;0,02;0,02;0;0
2016-02-18;0,018;0,018;0,018;0,018;0;0
2016-02-17;0,02;0,02;0,02;0,02;0;0
2016-02-16;0,018;0,018;0,018;0,018;0;0
2016-02-15;0,02;0,02;0,02;0,02;0;0
2016-02-12;0,018;0,018;0,018;0,018;0;0
2016-02-11;0,018;0,018;0,018;0,018;0;0
2016-02-10;0,02;0,02;0,02;0,02;0;0
2016-02-09;0,02;0,02;0,02;0,02;0;0
2016-02-08;0,02;0,02;0,02;0,02;0;0
2016-02-05;0,018;0,018;0,018;0,018;0;0
2016-02-04;0,018;0,018;0,018;0,018;0;0
2016-02-03;0,018;0,018;0,018;0,018;0;0
2016-02-02;0,02;0,02;0,02;0,02;0;0
2016-02-01;0,02;0,02;0,02;0,02;0;0
2016-01-29;0,02;0,02;0,02;0,02;0;0
2016-01-28;0,02;0,02;0,02;0,02;0;0
2016-01-27;0,018;0,018;0,018;0,018;0;0
2016-01-26;0,018;0,018;0,018;0,018;0;0
2016-01-25;0,02;0,02;0,02;0,02;;
2016-01-22;0,02;0,02;0,02;0,02;0;0
2016-01-21;0,02;0,02;0,02;0,02;0;0
2016-01-20;0,018;0,018;0,018;0,018;0;0
2016-01-19;0,02;0,02;0,02;0,02;0;0
2016-01-18;0,02;0,02;0,02;0,02;0;0
2016-01-15;0,018;0,018;0,018;0,018;0;0
2016-01-14;0,018;0,018;0,018;0,018;0;0
2016-01-13;0,021;0,021;0,021;0,021;0;0
2016-01-12;0,021;0,021;0,021;0,021;0;0
2016-01-11;0,021;0,021;0,021;0,021;0;0
2016-01-08;0,021;0,021;0,021;0,021;0;0
2016-01-07;0,02;0,02;0,02;0,02;0;0
2016-01-06;0,02;0,02;0,02;0,02;0;0
2016-01-05;0,02;0,02;0,02;0,02;0;0
2016-01-04;0,02;0,02;0,02;0,02;0;0
2015-12-30;0,02;0,02;0,02;0,02;0;0
2015-12-29;0,02;0,02;0,02;0,02;0;0
2015-12-28;0,025;0,025;0,025;0,025;0;0
2015-12-23;0,025;0,025;0,025;0,025;0;0
2015-12-22;0,025;0,025;0,025;0,025;0;0
2015-12-21;0,03;0,03;0,03;0,03;0;0
2015-12-18;0,03;0,03;0,03;0,03;0;0
2015-12-17;0,03;0,03;0,03;0,03;0;0
2015-12-16;0,026;0,026;0,026;0,026;0;0
2015-12-15;0,026;0,026;0,026;0,026;0;0
2015-12-14;0,02;0,02;0,02;0,02;0;0
2015-12-11;0,02;0,02;0,02;0,02;0;0
2015-12-10;0,02;0,02;0,02;0,02;0;0
2015-12-09;0,019;0,019;0,019;0,019;0;0
2015-12-08;0,019;0,019;0,019;0,019;0;0
2015-12-07;0,021;0,021;0,021;0,021;0;0
2015-12-04;0,02;0,02;0,02;0,02;0;0
2015-12-03;0,02;0,02;0,02;0,02;0;0
2015-12-02;0,021;0,021;0,021;0,021;0;0
2015-12-01;0,02;0,02;0,02;0,02;0;0
2015-11-30;0,021;0,021;0,021;0,021;0;0
